OrgName,Cities,ST,AnyAMT,AnyAMTDate
Columbia River ,The Dalles,OR,22469,3/12/12
Evergreen ,Seattle,WA,20501,3/12/12
Charter ,Santa Fe,NM,32498,3/12/12
  Leeton,Leeton,MO,8265,3/12/12
Premier American ,Miami,FL,57147,3/12/12
Barnes ing ,Kaysville,UT,1252,3/5/12
St. Stephen  ,St. Stephen,MN,17522,3/5/12
Town   &amp; Trust,Antioch,IL,34705,3/5/12
Hizon ,Bellingham,WA,22977,2/27/12
First    Calinia F.S.B.,Santa Monica,CA,28536,2/6/12
Imperial Capital ,La Jolla,CA,26348,2/6/12
Independent ers' ,Springfield,IL,26820,2/6/12
New South  Savings ,Irondale,AL,32276,2/6/12
s  ,New Baltimore,MI,1006,2/6/12
Peoples First  ,Panama City,FL,32167,2/6/12
RockBridge  ,Atlanta,GA,58315,2/6/12
Solutions,Overland Park,KS,4731,1/30/12
Valley Capital  N.A.,Mesa,AZ,58399,1/30/12
Republic   N.A.,Miami,FL,22846,1/30/12
Greater Atlantic ,Reston,VA,32583,1/23/12
Benchmark ,Aurora,IL,10440,1/23/12
AmTrust ,Cleveland,OH,29776,1/23/12
 Tattnall ,Reidsville,GA,12080,1/23/12
First Security National ,Norcross,GA,26290,1/23/12
 Buckhead  ,Atlanta,GA,34663,1/23/12
   Southwest Flida,Fort Myers,FL,58016,1/9/12
Pacific Coast National ,San Clemente,CA,57914,1/2/12
ion ,Naples,FL,22427,1/2/12
Century  F.S.B.,Sarasota,FL,32267,1/2/12
United  ,San Francisco,CA,32469,12/26/11
Gateway   St. Louis,St. Louis,MO,19450,12/26/11
Prosperan ,Oakdale,MN,35074,12/26/11
Home  Savings ,Detroit,MI,30329,12/26/11
United Security ,Sparta,GA,22286,12/26/11
Nth Houston ,Houston,TX,18776,12/19/11
Madisonville  ,Madisonville,TX,33782,12/19/11
s National ,Teague,TX,25222,12/19/11
Park National ,Chicago,IL,11677,12/19/11
Pacific National ,San Francisco,CA,30006,12/19/11
Calinia National ,Los Angeles,CA,34659,12/19/11
San Diego National ,San Diego,CA,23594,12/19/11
   Lemont,Lemont,IL,35291,12/19/11
 USA N.A.,Phoenix,AZ,32218,12/19/11
First DuPage ,Westmont,IL,35038,12/12/11
Riverview  ,Otsego,MN,57525,12/12/11
  Elmwood,Racine,WI,18321,12/12/11
Flagship National ,Bradenton,FL,35044,12/12/11
Hillcrest  Flida,Naples,FL,58336,12/12/11
American United ,Lawrenceville,GA,57794,12/12/11
Partners ,Naples,FL,57959,12/12/11
San Joaquin ,Bakersfield,CA,23266,12/5/11
Sourn Colado National ,Pueblo,CO,57263,11/21/11
Jennings  ,Spring Grove,MN,11416,11/21/11
Warren ,Warren,MI,34824,11/21/11
Gegian ,Atlanta,GA,57151,11/14/11
Irwin Union  F.S.B.,Louisville,KY,57068,11/7/11
Irwin Union   Trust ,Columbus,IN,10100,11/7/11
Venture ,Lacey,WA,22868,10/31/11
Brickwell  ,Woodbury,MN,57736,10/31/11
Cus  N.A.,Chicago,IL,13693,10/31/11
First  ,Flagstaff,AZ,34875,10/24/11
Platinum  ,Rolling Meadows,IL,35030,10/24/11
Vantus ,Sioux City,IA,27732,10/24/11
In,Oak Forest,IL,20203,10/24/11
First   Kansas ,Kansas City,MO,25231,10/24/11
Affinity ,Ventura,CA,27197,10/17/11
Mainstreet ,Forest Lake,MN,1909,10/17/11
